Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-22T17:08:52.878Z","pro-free-trial","auto","No","9125","7085","48634","2239","67083","0.05"
"2025-10-22T16:55:39.993Z","free","auto","No","0","720","2560","564","3844","0.005"
"2025-10-22T16:55:13.937Z","free","auto","No","0","2773","0","447","3220","0.01"
"2025-10-21T18:08:53.937Z","free","auto","No","0","6556","20128","630","27314","0.02"
"2025-10-21T18:07:19.421Z","free","auto","No","0","8329","43168","1625","53122","0.03"
"2025-10-21T18:05:23.279Z","free","auto","No","0","3615","23712","980","28307","0.02"
"2025-10-21T18:04:26.701Z","free","auto","No","0","8661","54112","1791","64564","0.04"
"2025-10-21T18:02:19.727Z","free","auto","No","0","10518","23872","778","35168","0.02"
"2025-10-21T18:00:58.012Z","free","auto","No","0","5725","70048","1104","76877","0.03"
"2025-10-21T17:58:36.103Z","free","auto","No","0","6667","20096","680","27443","0.02"
"2025-10-21T17:36:34.473Z","free","auto","No","0","8652","42784","1743","53179","0.03"
"2025-10-21T17:36:09.784Z","free","auto","No","0","58104","7136","90","65330","0.07"
"2025-10-21T17:33:56.393Z","free","auto","No","0","1593","0","207","1800","0.003"
"2025-10-21T17:13:45.341Z","free","auto","No","0","1993","0","162","2155","0.003"
"2025-10-21T17:13:08.498Z","free","auto","No","0","1801","0","159","1960","0.003"
"2025-10-20T20:01:33.757Z","free","auto","No","0","42245","177152","1672","221069","0.11"
